gene_name	gene_id	genome_id	start	stop	strand	assembly
CsrA	NZ_JAFKOH010000011.1_98	NZ_JAFKOH010000011.1	104370	104591	-1	RS_GCF_017303375.1
DUF327	NZ_JAFKOH010000016.1_52	NZ_JAFKOH010000016.1	52425	52865	-1	RS_GCF_017303375.1
DUF6470	NZ_JAFKOH010000011.1_100	NZ_JAFKOH010000011.1	105058	105648	-1	RS_GCF_017303375.1
FlaG	NZ_JAFKOH010000011.1_95	NZ_JAFKOH010000011.1	100661	101020	-1	RS_GCF_017303375.1
MotE	NZ_JAFKOH010000002.1_280	NZ_JAFKOH010000002.1	291719	292309	-1	RS_GCF_017303375.1
FlgB	NZ_JAFKOH010000002.1_288	NZ_JAFKOH010000002.1	298291	298680	-1	RS_GCF_017303375.1
FlgC	NZ_JAFKOH010000002.1_287	NZ_JAFKOH010000002.1	297830	298288	-1	RS_GCF_017303375.1
FlgD	NZ_JAFKOH010000002.1_278	NZ_JAFKOH010000002.1	289781	290413	-1	RS_GCF_017303375.1
FlgE	NZ_JAFKOH010000002.1_276	NZ_JAFKOH010000002.1	288523	289308	-1	RS_GCF_017303375.1
FlgF	NZ_JAFKOH010000010.1_26	NZ_JAFKOH010000010.1	21685	22527	1	RS_GCF_017303375.1
FlgG	NZ_JAFKOH010000010.1_27	NZ_JAFKOH010000010.1	22584	23426	1	RS_GCF_017303375.1
FlgK	NZ_JAFKOH010000011.1_102	NZ_JAFKOH010000011.1	106642	108219	-1	RS_GCF_017303375.1
FlgL	NZ_JAFKOH010000011.1_101	NZ_JAFKOH010000011.1	105722	106627	-1	RS_GCF_017303375.1
FlgM	NZ_JAFKOH010000011.1_104	NZ_JAFKOH010000011.1	108761	109027	-1	RS_GCF_017303375.1
FlgN	NZ_JAFKOH010000011.1_103	NZ_JAFKOH010000011.1	108249	108743	-1	RS_GCF_017303375.1
FlhA	NZ_JAFKOH010000002.1_266	NZ_JAFKOH010000002.1	279694	281730	-1	RS_GCF_017303375.1
FlhB	NZ_JAFKOH010000002.1_267	NZ_JAFKOH010000002.1	281749	282831	-1	RS_GCF_017303375.1
FlhF	NZ_JAFKOH010000002.1_265	NZ_JAFKOH010000002.1	278534	279697	-1	RS_GCF_017303375.1
FlhG	NZ_JAFKOH010000002.1_264	NZ_JAFKOH010000002.1	277696	278553	-1	RS_GCF_017303375.1
FliA	NZ_JAFKOH010000002.1_258	NZ_JAFKOH010000002.1	272101	272859	-1	RS_GCF_017303375.1
FliC	NZ_JAFKOH010000011.1_97	NZ_JAFKOH010000011.1	102765	104213	-1	RS_GCF_017303375.1
FliD	NZ_JAFKOH010000011.1_94	NZ_JAFKOH010000011.1	99146	100645	-1	RS_GCF_017303375.1
FliE	NZ_JAFKOH010000002.1_286	NZ_JAFKOH010000002.1	297507	297812	-1	RS_GCF_017303375.1
FliG	NZ_JAFKOH010000002.1_284	NZ_JAFKOH010000002.1	294848	295861	-1	RS_GCF_017303375.1
FliI	NZ_JAFKOH010000002.1_282	NZ_JAFKOH010000002.1	292766	294085	-1	RS_GCF_017303375.1
FliJ	NZ_JAFKOH010000002.1_281	NZ_JAFKOH010000002.1	292314	292760	-1	RS_GCF_017303375.1
FliK	NZ_JAFKOH010000002.1_279	NZ_JAFKOH010000002.1	290422	291693	-1	RS_GCF_017303375.1
FliL	NZ_JAFKOH010000002.1_275	NZ_JAFKOH010000002.1	287814	288239	-1	RS_GCF_017303375.1
FliM	NZ_JAFKOH010000002.1_274	NZ_JAFKOH010000002.1	286781	287779	-1	RS_GCF_017303375.1
FliN	NZ_JAFKOH010000002.1_273	NZ_JAFKOH010000002.1	285619	286791	-1	RS_GCF_017303375.1
FliO	NZ_JAFKOH010000002.1_271	NZ_JAFKOH010000002.1	284556	285194	-1	RS_GCF_017303375.1
FliP	NZ_JAFKOH010000002.1_270	NZ_JAFKOH010000002.1	283898	284563	-1	RS_GCF_017303375.1
FliQ	NZ_JAFKOH010000002.1_269	NZ_JAFKOH010000002.1	283614	283883	-1	RS_GCF_017303375.1
FliR	NZ_JAFKOH010000002.1_268	NZ_JAFKOH010000002.1	282833	283609	-1	RS_GCF_017303375.1
FliS	NZ_JAFKOH010000011.1_93	NZ_JAFKOH010000011.1	98719	99123	-1	RS_GCF_017303375.1
FliT	NZ_JAFKOH010000011.1_92	NZ_JAFKOH010000011.1	98372	98719	-1	RS_GCF_017303375.1
FliW	NZ_JAFKOH010000011.1_99	NZ_JAFKOH010000011.1	104596	105039	-1	RS_GCF_017303375.1
MotA	NZ_JAFKOH010000003.1_351	NZ_JAFKOH010000003.1	326556	327371	-1	RS_GCF_017303375.1
MotA	NZ_JAFKOH010000004.1_91	NZ_JAFKOH010000004.1	90410	91201	-1	RS_GCF_017303375.1
PilZ	NZ_JAFKOH010000001.1_270	NZ_JAFKOH010000001.1	231463	232161	-1	RS_GCF_017303375.1
Putative	NZ_JAFKOH010000002.1_277	NZ_JAFKOH010000002.1	289380	289769	-1	RS_GCF_017303375.1
SwrB	NZ_JAFKOH010000002.1_257	NZ_JAFKOH010000002.1	271452	271973	-1	RS_GCF_017303375.1
SwrB	NZ_JAFKOH010000005.1_195	NZ_JAFKOH010000005.1	187714	188091	-1	RS_GCF_017303375.1
Transglycosylase	NZ_JAFKOH010000005.1_33	NZ_JAFKOH010000005.1	25108	25740	1	RS_GCF_017303375.1
YvyF	NZ_JAFKOH010000011.1_105	NZ_JAFKOH010000011.1	109141	109557	-1	RS_GCF_017303375.1
FliF	NZ_JAFKOH010000002.1_285	NZ_JAFKOH010000002.1	295875	297473	-1	RS_GCF_017303375.1
MotB	NZ_JAFKOH010000003.1_350	NZ_JAFKOH010000003.1	325832	326566	-1	RS_GCF_017303375.1
MotB	NZ_JAFKOH010000004.1_90	NZ_JAFKOH010000004.1	89632	90423	-1	RS_GCF_017303375.1
FliH	NZ_JAFKOH010000002.1_283	NZ_JAFKOH010000002.1	294082	294894	-1	RS_GCF_017303375.1
