gene_name	gene_id	genome_id	start	stop	strand	assembly
FlaG	JADIYD010000012.1_201	JADIYD010000012.1	216375	216764	1	GB_GCA_016705475.1
FlgA	JADIYD010000012.1_237	JADIYD010000012.1	246530	247135	1	GB_GCA_016705475.1
FlgB	JADIYD010000012.1_236	JADIYD010000012.1	245952	246362	-1	GB_GCA_016705475.1
FlgC	JADIYD010000012.1_235	JADIYD010000012.1	245530	245940	-1	GB_GCA_016705475.1
FlgD	JADIYD010000012.1_234	JADIYD010000012.1	244847	245518	-1	GB_GCA_016705475.1
FlgE	JADIYD010000012.1_233	JADIYD010000012.1	243602	244825	-1	GB_GCA_016705475.1
FlgF	JADIYD010000012.1_232	JADIYD010000012.1	242830	243573	-1	GB_GCA_016705475.1
FlgG	JADIYD010000012.1_231	JADIYD010000012.1	242034	242816	-1	GB_GCA_016705475.1
FlgH	JADIYD010000012.1_230	JADIYD010000012.1	241362	242024	-1	GB_GCA_016705475.1
FlgI	JADIYD010000012.1_229	JADIYD010000012.1	240449	241339	-1	GB_GCA_016705475.1
FlgI	JADIYD010000012.1_228	JADIYD010000012.1	240244	240480	-1	GB_GCA_016705475.1
FlgJ	JADIYD010000012.1_227	JADIYD010000012.1	239272	240228	-1	GB_GCA_016705475.1
FlgK	JADIYD010000012.1_226	JADIYD010000012.1	237190	239211	-1	GB_GCA_016705475.1
FlgL	JADIYD010000012.1_225	JADIYD010000012.1	235955	237178	-1	GB_GCA_016705475.1
FlgM	JADIYD010000012.1_238	JADIYD010000012.1	247201	247476	1	GB_GCA_016705475.1
FlgN	JADIYD010000012.1_239	JADIYD010000012.1	247476	247934	1	GB_GCA_016705475.1
FlhA	JADIYD010000012.1_245	JADIYD010000012.1	252568	254652	-1	GB_GCA_016705475.1
FlhB	JADIYD010000012.1_246	JADIYD010000012.1	254653	255792	-1	GB_GCA_016705475.1
FlhC	JADIYD010000004.1_10	JADIYD010000004.1	8942	9580	1	GB_GCA_016705475.1
FlhF	JADIYD010000012.1_244	JADIYD010000012.1	251123	252571	-1	GB_GCA_016705475.1
FlhG	JADIYD010000012.1_243	JADIYD010000012.1	250240	251130	-1	GB_GCA_016705475.1
FliA	JADIYD010000012.1_242	JADIYD010000012.1	249488	250240	-1	GB_GCA_016705475.1
FliB	JADIYD010000014.1_22	JADIYD010000014.1	16647	17870	-1	GB_GCA_016705475.1
FliC	JADIYD010000012.1_200	JADIYD010000012.1	214779	216278	1	GB_GCA_016705475.1
FliD	JADIYD010000012.1_202	JADIYD010000012.1	216797	218245	1	GB_GCA_016705475.1
FliE	JADIYD010000012.1_208	JADIYD010000012.1	221401	221727	-1	GB_GCA_016705475.1
FliG	JADIYD010000012.1_212	JADIYD010000012.1	226163	227164	1	GB_GCA_016705475.1
FliI	JADIYD010000012.1_214	JADIYD010000012.1	227875	229293	1	GB_GCA_016705475.1
FliJ	JADIYD010000012.1_215	JADIYD010000012.1	229297	229752	1	GB_GCA_016705475.1
FliK	JADIYD010000012.1_216	JADIYD010000012.1	229811	231097	1	GB_GCA_016705475.1
FliK	JADIYD010000012.1_205	JADIYD010000012.1	218960	220294	1	GB_GCA_016705475.1
FliL	JADIYD010000012.1_217	JADIYD010000012.1	231133	231699	1	GB_GCA_016705475.1
FliL	JADIYD010000014.1_532	JADIYD010000014.1	539064	539456	1	GB_GCA_016705475.1
FliM	JADIYD010000012.1_218	JADIYD010000012.1	231706	232722	1	GB_GCA_016705475.1
FliN	JADIYD010000012.1_219	JADIYD010000012.1	232715	233164	1	GB_GCA_016705475.1
FliO	JADIYD010000012.1_220	JADIYD010000012.1	233302	233712	1	GB_GCA_016705475.1
FliP	JADIYD010000012.1_221	JADIYD010000012.1	233705	234451	1	GB_GCA_016705475.1
FliQ	JADIYD010000012.1_222	JADIYD010000012.1	234448	234717	1	GB_GCA_016705475.1
FliR	JADIYD010000012.1_223	JADIYD010000012.1	234720	235595	1	GB_GCA_016705475.1
FliS	JADIYD010000012.1_203	JADIYD010000012.1	218258	218665	1	GB_GCA_016705475.1
FliT	JADIYD010000012.1_204	JADIYD010000012.1	218669	218950	1	GB_GCA_016705475.1
FliW	JADIYD010000010.1_115	JADIYD010000010.1	106065	106508	1	GB_GCA_016705475.1
MotA	JADIYD010000012.1_241	JADIYD010000012.1	248755	249495	-1	GB_GCA_016705475.1
MotA	JADIYD010000012.1_264	JADIYD010000012.1	274463	274957	-1	GB_GCA_016705475.1
MotA	JADIYD010000013.1_2	JADIYD010000013.1	1459	1950	-1	GB_GCA_016705475.1
MotA	JADIYD010000013.1_3	JADIYD010000013.1	1961	2314	-1	GB_GCA_016705475.1
MotA	JADIYD010000012.1_265	JADIYD010000012.1	275040	275318	-1	GB_GCA_016705475.1
Transglycosylase	JADIYD010000010.1_249	JADIYD010000010.1	246043	246954	-1	GB_GCA_016705475.1
Transglycosylase	JADIYD010000009.1_85	JADIYD010000009.1	96789	97682	1	GB_GCA_016705475.1
FlrC	JADIYD010000012.1_209	JADIYD010000012.1	221776	223125	-1	GB_GCA_016705475.1
FliF	JADIYD010000012.1_211	JADIYD010000012.1	224422	226173	1	GB_GCA_016705475.1
MotB	JADIYD010000012.1_240	JADIYD010000012.1	247952	248755	-1	GB_GCA_016705475.1
FliH	JADIYD010000012.1_213	JADIYD010000012.1	227171	227893	1	GB_GCA_016705475.1
